Sexo;Comunidades y Ciudades Autónomas;Sector económico;Periodo;Total
Ambos sexos;Total Nacional;Servicios;2017;76,4
Ambos sexos;Total Nacional;Servicios;2016;77
Ambos sexos;Total Nacional;Servicios;2015;76,9
Ambos sexos;Total Nacional;Servicios;2014;77,4
Ambos sexos;Total Nacional;Servicios;2013;77,2
Ambos sexos;Total Nacional;Servicios;2012;76,4
Ambos sexos;Total Nacional;Servicios;2011;75,3
Ambos sexos;Total Nacional;Servicios;2010;74,1
Ambos sexos;Total Nacional;Servicios;2009;72,5
Ambos sexos;Total Nacional;Servicios;2008;69
Ambos sexos;01 Andalucía;Total;2024;100
Ambos sexos;01 Andalucía;Total;2023;100
Ambos sexos;01 Andalucía;Total;2022;100
Ambos sexos;01 Andalucía;Total;2021;100
Ambos sexos;01 Andalucía;Total;2020;100
Ambos sexos;01 Andalucía;Total;2019;100
Ambos sexos;01 Andalucía;Total;2018;100
Ambos sexos;01 Andalucía;Total;2017;100
Ambos sexos;01 Andalucía;Total;2016;100
Ambos sexos;01 Andalucía;Total;2015;100
Ambos sexos;01 Andalucía;Total;2014;100
Ambos sexos;01 Andalucía;Total;2013;100
Ambos sexos;01 Andalucía;Total;2012;100
Ambos sexos;01 Andalucía;Total;2011;100
Ambos sexos;01 Andalucía;Total;2010;100
Ambos sexos;01 Andalucía;Total;2009;100
Ambos sexos;01 Andalucía;Total;2008;100
Ambos sexos;01 Andalucía;Agricultura;2024;6,2
Ambos sexos;01 Andalucía;Agricultura;2023;6,4
Ambos sexos;01 Andalucía;Agricultura;2022;6,8
Ambos sexos;01 Andalucía;Agricultura;2021;8,1
Ambos sexos;01 Andalucía;Agricultura;2020;8,1
Ambos sexos;01 Andalucía;Agricultura;2019;7,4
Ambos sexos;01 Andalucía;Agricultura;2018;7,7
Ambos sexos;01 Andalucía;Agricultura;2017;8,2
Ambos sexos;01 Andalucía;Agricultura;2016;8,2
Ambos sexos;01 Andalucía;Agricultura;2015;7,2
Ambos sexos;01 Andalucía;Agricultura;2014;7,8
Ambos sexos;01 Andalucía;Agricultura;2013;7,1
Ambos sexos;01 Andalucía;Agricultura;2012;7,1
Ambos sexos;01 Andalucía;Agricultura;2011;6,8
Ambos sexos;01 Andalucía;Agricultura;2010;7,1
Ambos sexos;01 Andalucía;Agricultura;2009;6,5
Ambos sexos;01 Andalucía;Agricultura;2008;6,1
Ambos sexos;01 Andalucía;Industria;2024;9,6
Ambos sexos;01 Andalucía;Industria;2023;9,5
Ambos sexos;01 Andalucía;Industria;2022;9,6
Ambos sexos;01 Andalucía;Industria;2021;9,8
Ambos sexos;01 Andalucía;Industria;2020;10,5
Ambos sexos;01 Andalucía;Industria;2019;9,9
Ambos sexos;01 Andalucía;Industria;2018;9,8
Ambos sexos;01 Andalucía;Industria;2017;9,5
Ambos sexos;01 Andalucía;Industria;2016;9,3
Ambos sexos;01 Andalucía;Industria;2015;8,6
Ambos sexos;01 Andalucía;Industria;2014;8,9
Ambos sexos;01 Andalucía;Industria;2013;9,1
Ambos sexos;01 Andalucía;Industria;2012;9,4
Ambos sexos;01 Andalucía;Industria;2011;9,4
Ambos sexos;01 Andalucía;Industria;2010;9,4
Ambos sexos;01 Andalucía;Industria;2009;9,8
Ambos sexos;01 Andalucía;Industria;2008;10,4
Ambos sexos;01 Andalucía;Construcción;2024;6,6
Ambos sexos;01 Andalucía;Construcción;2023;6,1
Ambos sexos;01 Andalucía;Construcción;2022;6,3
Ambos sexos;01 Andalucía;Construcción;2021;6,5
Ambos sexos;01 Andalucía;Construcción;2020;6,2
Ambos sexos;01 Andalucía;Construcción;2019;6,4
Ambos sexos;01 Andalucía;Construcción;2018;5,9
Ambos sexos;01 Andalucía;Construcción;2017;5,2
Ambos sexos;01 Andalucía;Construcción;2016;5,3
Ambos sexos;01 Andalucía;Construcción;2015;5,1
Ambos sexos;01 Andalucía;Construcción;2014;4,7
Ambos sexos;01 Andalucía;Construcción;2013;4,7
Ambos sexos;01 Andalucía;Construcción;2012;5,3
Ambos sexos;01 Andalucía;Construcción;2011;7
Ambos sexos;01 Andalucía;Construcción;2010;8
Ambos sexos;01 Andalucía;Construcción;2009;9,2
Ambos sexos;01 Andalucía;Construcción;2008;13,5
Ambos sexos;01 Andalucía;Servicios;2024;77,6
Ambos sexos;01 Andalucía;Servicios;2023;78
Ambos sexos;01 Andalucía;Servicios;2022;77,3
Ambos sexos;01 Andalucía;Servicios;2021;75,6
Ambos sexos;01 Andalucía;Servicios;2020;75,1
Ambos sexos;01 Andalucía;Servicios;2019;76,3
Ambos sexos;01 Andalucía;Servicios;2018;76,6
Ambos sexos;01 Andalucía;Servicios;2017;77
Ambos sexos;01 Andalucía;Servicios;2016;77,3
Ambos sexos;01 Andalucía;Servicios;2015;79,1
Ambos sexos;01 Andalucía;Servicios;2014;78,6
Ambos sexos;01 Andalucía;Servicios;2013;79,1
Ambos sexos;01 Andalucía;Servicios;2012;78,3
Ambos sexos;01 Andalucía;Servicios;2011;76,8
Ambos sexos;01 Andalucía;Servicios;2010;75,4
Ambos sexos;01 Andalucía;Servicios;2009;74,5
Ambos sexos;01 Andalucía;Servicios;2008;70,1
Ambos sexos;02 Aragón;Total;2024;100
Ambos sexos;02 Aragón;Total;2023;100
Ambos sexos;02 Aragón;Total;2022;100
Ambos sexos;02 Aragón;Total;2021;100
Ambos sexos;02 Aragón;Total;2020;100
Ambos sexos;02 Aragón;Total;2019;100
Ambos sexos;02 Aragón;Total;2018;100
Ambos sexos;02 Aragón;Total;2017;100
Ambos sexos;02 Aragón;Total;2016;100
Ambos sexos;02 Aragón;Total;2015;100
Ambos sexos;02 Aragón;Total;2014;100
Ambos sexos;02 Aragón;Total;2013;100
Ambos sexos;02 Aragón;Total;2012;100
Ambos sexos;02 Aragón;Total;2011;100
Ambos sexos;02 Aragón;Total;2010;100
Ambos sexos;02 Aragón;Total;2009;100
Ambos sexos;02 Aragón;Total;2008;100
Ambos sexos;02 Aragón;Agricultura;2024;3
Ambos sexos;02 Aragón;Agricultura;2023;3,2
Ambos sexos;02 Aragón;Agricultura;2022;3,5
Ambos sexos;02 Aragón;Agricultura;2021;3,3
Ambos sexos;02 Aragón;Agricultura;2020;2,8
Ambos sexos;02 Aragón;Agricultura;2019;3
Ambos sexos;02 Aragón;Agricultura;2018;3,9
Ambos sexos;02 Aragón;Agricultura;2017;4,2
Ambos sexos;02 Aragón;Agricultura;2016;3,6
Ambos sexos;02 Aragón;Agricultura;2015;3
Ambos sexos;02 Aragón;Agricultura;2014;2,8
Ambos sexos;02 Aragón;Agricultura;2013;3,7
Ambos sexos;02 Aragón;Agricultura;2012;3
Ambos sexos;02 Aragón;Agricultura;2011;2,6
Ambos sexos;02 Aragón;Agricultura;2010;2,6
Ambos sexos;02 Aragón;Agricultura;2009;1,8
Ambos sexos;02 Aragón;Agricultura;2008;1,9
Ambos sexos;02 Aragón;Industria;2024;20,7
Ambos sexos;02 Aragón;Industria;2023;21,8
Ambos sexos;02 Aragón;Industria;2022;20,6
Ambos sexos;02 Aragón;Industria;2021;22,1
Ambos sexos;02 Aragón;Industria;2020;24
Ambos sexos;02 Aragón;Industria;2019;21,6
Ambos sexos;02 Aragón;Industria;2018;21,9
Ambos sexos;02 Aragón;Industria;2017;20,8
Ambos sexos;02 Aragón;Industria;2016;21,3
Ambos sexos;02 Aragón;Industria;2015;22
Ambos sexos;02 Aragón;Industria;2014;20,1
Ambos sexos;02 Aragón;Industria;2013;18,9
Ambos sexos;02 Aragón;Industria;2012;20
Ambos sexos;02 Aragón;Industria;2011;21,9
Ambos sexos;02 Aragón;Industria;2010;21,6
Ambos sexos;02 Aragón;Industria;2009;21,4
Ambos sexos;02 Aragón;Industria;2008;23,8
Ambos sexos;02 Aragón;Construcción;2024;5,9
Ambos sexos;02 Aragón;Construcción;2023;5,2
Ambos sexos;02 Aragón;Construcción;2022;5,8
Ambos sexos;02 Aragón;Construcción;2021;6,2
Ambos sexos;02 Aragón;Construcción;2020;5,7
Ambos sexos;02 Aragón;Construcción;2019;5,4
Ambos sexos;02 Aragón;Construcción;2018;5,1
Ambos sexos;02 Aragón;Construcción;2017;4,3
Ambos sexos;02 Aragón;Construcción;2016;4,8
Ambos sexos;02 Aragón;Construcción;2015;4,5
Ambos sexos;02 Aragón;Construcción;2014;4,9
Ambos sexos;02 Aragón;Construcción;2013;5,2
Ambos sexos;02 Aragón;Construcción;2012;5,5
Ambos sexos;02 Aragón;Construcción;2011;6,3
Ambos sexos;02 Aragón;Construcción;2010;9
Ambos sexos;02 Aragón;Construcción;2009;9,3
Ambos sexos;02 Aragón;Construcción;2008;9,7
Ambos sexos;02 Aragón;Servicios;2024;70,3
Ambos sexos;02 Aragón;Servicios;2023;69,7
Ambos sexos;02 Aragón;Servicios;2022;70
Ambos sexos;02 Aragón;Servicios;2021;68,4
Ambos sexos;02 Aragón;Servicios;2020;67,5
Ambos sexos;02 Aragón;Servicios;2019;70
Ambos sexos;02 Aragón;Servicios;2018;69,1
Ambos sexos;02 Aragón;Servicios;2017;70,7
Ambos sexos;02 Aragón;Servicios;2016;70,4
Ambos sexos;02 Aragón;Servicios;2015;70,5
Ambos sexos;02 Aragón;Servicios;2014;72,1
Ambos sexos;02 Aragón;Servicios;2013;72,2
Ambos sexos;02 Aragón;Servicios;2012;71,5
Ambos sexos;02 Aragón;Servicios;2011;69,2
Ambos sexos;02 Aragón;Servicios;2010;66,8
Ambos sexos;02 Aragón;Servicios;2009;67,5
Ambos sexos;02 Aragón;Servicios;2008;64,6
Ambos sexos;03 Asturias, Principado de;Total;2024;100
Ambos sexos;03 Asturias, Principado de;Total;2023;100
Ambos sexos;03 Asturias, Principado de;Total;2022;100
Ambos sexos;03 Asturias, Principado de;Total;2021;100
Ambos sexos;03 Asturias, Principado de;Total;2020;100
Ambos sexos;03 Asturias, Principado de;Total;2019;100
Ambos sexos;03 Asturias, Principado de;Total;2018;100
Ambos sexos;03 Asturias, Principado de;Total;2017;100
Ambos sexos;03 Asturias, Principado de;Total;2016;100
Ambos sexos;03 Asturias, Principado de;Total;2015;100
Ambos sexos;03 Asturias, Principado de;Total;2014;100
Ambos sexos;03 Asturias, Principado de;Total;2013;100
Ambos sexos;03 Asturias, Principado de;Total;2012;100
Ambos sexos;03 Asturias, Principado de;Total;2011;100
Ambos sexos;03 Asturias, Principado de;Total;2010;100
Ambos sexos;03 Asturias, Principado de;Total;2009;100
Ambos sexos;03 Asturias, Principado de;Total;2008;100
Ambos sexos;03 Asturias, Principado de;Agricultura;2024;0,6
Ambos sexos;03 Asturias, Principado de;Agricultura;2023;0,9
Ambos sexos;03 Asturias, Principado de;Agricultura;2022;1,2
Ambos sexos;03 Asturias, Principado de;Agricultura;2021;1
Ambos sexos;03 Asturias, Principado de;Agricultura;2020;0,8
Ambos sexos;03 Asturias, Principado de;Agricultura;2019;0,7
Ambos sexos;03 Asturias, Principado de;Agricultura;2018;1,2
Ambos sexos;03 Asturias, Principado de;Agricultura;2017;1
Ambos sexos;03 Asturias, Principado de;Agricultura;2016;0,7
Ambos sexos;03 Asturias, Principado de;Agricultura;2015;0,5
Ambos sexos;03 Asturias, Principado de;Agricultura;2014;0,9
Ambos sexos;03 Asturias, Principado de;Agricultura;2013;1,1
Ambos sexos;03 Asturias, Principado de;Agricultura;2012;0,6
Ambos sexos;03 Asturias, Principado de;Agricultura;2011;0,9
Ambos sexos;03 Asturias, Principado de;Agricultura;2010;0,9
Ambos sexos;03 Asturias, Principado de;Agricultura;2009;0,4
Ambos sexos;03 Asturias, Principado de;Agricultura;2008;0,6
Ambos sexos;03 Asturias, Principado de;Industria;2024;17,1
Ambos sexos;03 Asturias, Principado de;Industria;2023;16,1
Ambos sexos;03 Asturias, Principado de;Industria;2022;16,3
Ambos sexos;03 Asturias, Principado de;Industria;2021;15,5
Ambos sexos;03 Asturias, Principado de;Industria;2020;16,1
Ambos sexos;03 Asturias, Principado de;Industria;2019;16
Ambos sexos;03 Asturias, Principado de;Industria;2018;16,3
Ambos sexos;03 Asturias, Principado de;Industria;2017;16,8
Ambos sexos;03 Asturias, Principado de;Industria;2016;16,5
Ambos sexos;03 Asturias, Principado de;Industria;2015;17,3
Ambos sexos;03 Asturias, Principado de;Industria;2014;18,5
Ambos sexos;03 Asturias, Principado de;Industria;2013;17,2
Ambos sexos;03 Asturias, Principado de;Industria;2012;17,4
Ambos sexos;03 Asturias, Principado de;Industria;2011;16,2
Ambos sexos;03 Asturias, Principado de;Industria;2010;16,4
Ambos sexos;03 Asturias, Principado de;Industria;2009;16,2
Ambos sexos;03 Asturias, Principado de;Industria;2008;17,7
Ambos sexos;03 Asturias, Principado de;Construcción;2024;6,9
Ambos sexos;03 Asturias, Principado de;Construcción;2023;6,1
Ambos sexos;03 Asturias, Principado de;Construcción;2022;5,8
Ambos sexos;03 Asturias, Principado de;Construcción;2021;6,3
Ambos sexos;03 Asturias, Principado de;Construcción;2020;5,2
Ambos sexos;03 Asturias, Principado de;Construcción;2019;6,1
Ambos sexos;03 Asturias, Principado de;Construcción;2018;5,4
Ambos sexos;03 Asturias, Principado de;Construcción;2017;5,2
Ambos sexos;03 Asturias, Principado de;Construcción;2016;4,6
Ambos sexos;03 Asturias, Principado de;Construcción;2015;4,8
Ambos sexos;03 Asturias, Principado de;Construcción;2014;4,7
Ambos sexos;03 Asturias, Principado de;Construcción;2013;5,4
Ambos sexos;03 Asturias, Principado de;Construcción;2012;7,2
Ambos sexos;03 Asturias, Principado de;Construcción;2011;7,6
Ambos sexos;03 Asturias, Principado de;Construcción;2010;8,3
Ambos sexos;03 Asturias, Principado de;Construcción;2009;8,7
Ambos sexos;03 Asturias, Principado de;Construcción;2008;11,6
Ambos sexos;03 Asturias, Principado de;Servicios;2024;75,4
Ambos sexos;03 Asturias, Principado de;Servicios;2023;76,8
Ambos sexos;03 Asturias, Principado de;Servicios;2022;76,7
Ambos sexos;03 Asturias, Principado de;Servicios;2021;77,2
Ambos sexos;03 Asturias, Principado de;Servicios;2020;77,9
Ambos sexos;03 Asturias, Principado de;Servicios;2019;77,2
Ambos sexos;03 Asturias, Principado de;Servicios;2018;77,1
Ambos sexos;03 Asturias, Principado de;Servicios;2017;77
Ambos sexos;03 Asturias, Principado de;Servicios;2016;78,2
Ambos sexos;03 Asturias, Principado de;Servicios;2015;77,4
Ambos sexos;03 Asturias, Principado de;Servicios;2014;75,8
Ambos sexos;03 Asturias, Principado de;Servicios;2013;76,3
Ambos sexos;03 Asturias, Principado de;Servicios;2012;74,8
Ambos sexos;03 Asturias, Principado de;Servicios;2011;75,3
Ambos sexos;03 Asturias, Principado de;Servicios;2010;74,4
Ambos sexos;03 Asturias, Principado de;Servicios;2009;74,8
Ambos sexos;03 Asturias, Principado de;Servicios;2008;70,1
Ambos sexos;04 Balears, Illes;Total;2024;100
Ambos sexos;04 Balears, Illes;Total;2023;100
Ambos sexos;04 Balears, Illes;Total;2022;100
Ambos sexos;04 Balears, Illes;Total;2021;100
Ambos sexos;04 Balears, Illes;Total;2020;100
Ambos sexos;04 Balears, Illes;Total;2019;100
Ambos sexos;04 Balears, Illes;Total;2018;100
Ambos sexos;04 Balears, Illes;Total;2017;100
Ambos sexos;04 Balears, Illes;Total;2016;100
Ambos sexos;04 Balears, Illes;Total;2015;100
Ambos sexos;04 Balears, Illes;Total;2014;100
Ambos sexos;04 Balears, Illes;Total;2013;100
Ambos sexos;04 Balears, Illes;Total;2012;100
Ambos sexos;04 Balears, Illes;Total;2011;100
Ambos sexos;04 Balears, Illes;Total;2010;100
Ambos sexos;04 Balears, Illes;Total;2009;100
Ambos sexos;04 Balears, Illes;Total;2008;100
Ambos sexos;04 Balears, Illes;Agricultura;2024;0,5
Ambos sexos;04 Balears, Illes;Agricultura;2023;0,4
Ambos sexos;04 Balears, Illes;Agricultura;2022;0,4
Ambos sexos;04 Balears, Illes;Agricultura;2021;1
Ambos sexos;04 Balears, Illes;Agricultura;2020;0,7
Ambos sexos;04 Balears, Illes;Agricultura;2019;0,9
Ambos sexos;04 Balears, Illes;Agricultura;2018;1,4
Ambos sexos;04 Balears, Illes;Agricultura;2017;0,6
Ambos sexos;04 Balears, Illes;Agricultura;2016;0,6
Ambos sexos;04 Balears, Illes;Agricultura;2015;0,7
Ambos sexos;04 Balears, Illes;Agricultura;2014;0,6
Ambos sexos;04 Balears, Illes;Agricultura;2013;0,7
Ambos sexos;04 Balears, Illes;Agricultura;2012;0,7
Ambos sexos;04 Balears, Illes;Agricultura;2011;0,7
Ambos sexos;04 Balears, Illes;Agricultura;2010;0,4
Ambos sexos;04 Balears, Illes;Agricultura;2009;0,5
Ambos sexos;04 Balears, Illes;Agricultura;2008;0,7
Ambos sexos;04 Balears, Illes;Industria;2024;6,9
Ambos sexos;04 Balears, Illes;Industria;2023;5,9
Ambos sexos;04 Balears, Illes;Industria;2022;6,2
Ambos sexos;04 Balears, Illes;Industria;2021;5,5
Ambos sexos;04 Balears, Illes;Industria;2020;6,5
Ambos sexos;04 Balears, Illes;Industria;2019;6,3
Ambos sexos;04 Balears, Illes;Industria;2018;7
Ambos sexos;04 Balears, Illes;Industria;2017;7
Ambos sexos;04 Balears, Illes;Industria;2016;6,6
Ambos sexos;04 Balears, Illes;Industria;2015;7,3
Ambos sexos;04 Balears, Illes;Industria;2014;6,1
Ambos sexos;04 Balears, Illes;Industria;2013;5,3
Ambos sexos;04 Balears, Illes;Industria;2012;6,9
Ambos sexos;04 Balears, Illes;Industria;2011;7,1
Ambos sexos;04 Balears, Illes;Industria;2010;7,2
Ambos sexos;04 Balears, Illes;Industria;2009;8
Ambos sexos;04 Balears, Illes;Industria;2008;7,9
Ambos sexos;04 Balears, Illes;Construcción;2024;8,7
Ambos sexos;04 Balears, Illes;Construcción;2023;7,9
Ambos sexos;04 Balears, Illes;Construcción;2022;9,3
Ambos sexos;04 Balears, Illes;Construcción;2021;10,1
Ambos sexos;04 Balears, Illes;Construcción;2020;10,1
Ambos sexos;04 Balears, Illes;Construcción;2019;10
Ambos sexos;04 Balears, Illes;Construcción;2018;8,2
Ambos sexos;04 Balears, Illes;Construcción;2017;8,9
Ambos sexos;04 Balears, Illes;Construcción;2016;8,8
Ambos sexos;04 Balears, Illes;Construcción;2015;7,9
Ambos sexos;04 Balears, Illes;Construcción;2014;7,2
Ambos sexos;04 Balears, Illes;Construcción;2013;6,1
Ambos sexos;04 Balears, Illes;Construcción;2012;8,1
Ambos sexos;04 Balears, Illes;Construcción;2011;8,7
Ambos sexos;04 Balears, Illes;Construcción;2010;10,4
Ambos sexos;04 Balears, Illes;Construcción;2009;11,9
Ambos sexos;04 Balears, Illes;Construcción;2008;14,7
Ambos sexos;04 Balears, Illes;Servicios;2024;83,9
Ambos sexos;04 Balears, Illes;Servicios;2023;85,8
Ambos sexos;04 Balears, Illes;Servicios;2022;84
Ambos sexos;04 Balears, Illes;Servicios;2021;83,4
Ambos sexos;04 Balears, Illes;Servicios;2020;82,7
Ambos sexos;04 Balears, Illes;Servicios;2019;82,8
Ambos sexos;04 Balears, Illes;Servicios;2018;83,5
Ambos sexos;04 Balears, Illes;Servicios;2017;83,4
Ambos sexos;04 Balears, Illes;Servicios;2016;84,1
Ambos sexos;04 Balears, Illes;Servicios;2015;84,1
Ambos sexos;04 Balears, Illes;Servicios;2014;86,1
Ambos sexos;04 Balears, Illes;Servicios;2013;87,9
Ambos sexos;04 Balears, Illes;Servicios;2012;84,3
Ambos sexos;04 Balears, Illes;Servicios;2011;83,5
Ambos sexos;04 Balears, Illes;Servicios;2010;82
Ambos sexos;04 Balears, Illes;Servicios;2009;79,6
Ambos sexos;04 Balears, Illes;Servicios;2008;76,7
Ambos sexos;05 Canarias;Total;2024;100
Ambos sexos;05 Canarias;Total;2023;100
Ambos sexos;05 Canarias;Total;2022;100
Ambos sexos;05 Canarias;Total;2021;100
Ambos sexos;05 Canarias;Total;2020;100
Ambos sexos;05 Canarias;Total;2019;100
Ambos sexos;05 Canarias;Total;2018;100
Ambos sexos;05 Canarias;Total;2017;100
Ambos sexos;05 Canarias;Total;2016;100
Ambos sexos;05 Canarias;Total;2015;100
Ambos sexos;05 Canarias;Total;2014;100
Ambos sexos;05 Canarias;Total;2013;100
Ambos sexos;05 Canarias;Total;2012;100
Ambos sexos;05 Canarias;Total;2011;100
Ambos sexos;05 Canarias;Total;2010;100
Ambos sexos;05 Canarias;Total;2009;100
Ambos sexos;05 Canarias;Total;2008;100
Ambos sexos;05 Canarias;Agricultura;2024;2,1
Ambos sexos;05 Canarias;Agricultura;2023;2
Ambos sexos;05 Canarias;Agricultura;2022;2,1
Ambos sexos;05 Canarias;Agricultura;2021;2,8
Ambos sexos;05 Canarias;Agricultura;2020;2,9
Ambos sexos;05 Canarias;Agricultura;2019;2,6
Ambos sexos;05 Canarias;Agricultura;2018;2,1
Ambos sexos;05 Canarias;Agricultura;2017;2,2
Ambos sexos;05 Canarias;Agricultura;2016;2,4
Ambos sexos;05 Canarias;Agricultura;2015;2,7
Ambos sexos;05 Canarias;Agricultura;2014;3,1
Ambos sexos;05 Canarias;Agricultura;2013;2,8
Ambos sexos;05 Canarias;Agricultura;2012;2,2
Ambos sexos;05 Canarias;Agricultura;2011;2,4
Ambos sexos;05 Canarias;Agricultura;2010;3,2
Ambos sexos;05 Canarias;Agricultura;2009;2,2
Ambos sexos;05 Canarias;Agricultura;2008;2,3
Ambos sexos;05 Canarias;Industria;2024;4,6
Ambos sexos;05 Canarias;Industria;2023;4,7
Ambos sexos;05 Canarias;Industria;2022;4,6
Ambos sexos;05 Canarias;Industria;2021;5,3
Ambos sexos;05 Canarias;Industria;2020;4,8
Ambos sexos;05 Canarias;Industria;2019;4,5
Ambos sexos;05 Canarias;Industria;2018;4,3
Ambos sexos;05 Canarias;Industria;2017;4,2
Ambos sexos;05 Canarias;Industria;2016;4,9
Ambos sexos;05 Canarias;Industria;2015;4,5
Ambos sexos;05 Canarias;Industria;2014;4,9
Ambos sexos;05 Canarias;Industria;2013;5,2
Ambos sexos;05 Canarias;Industria;2012;4,6
Ambos sexos;05 Canarias;Industria;2011;5
Ambos sexos;05 Canarias;Industria;2010;5,8
Ambos sexos;05 Canarias;Industria;2009;6
Ambos sexos;05 Canarias;Industria;2008;6,6
Ambos sexos;05 Canarias;Construcción;2024;6,9
Ambos sexos;05 Canarias;Construcción;2023;5,7
Ambos sexos;05 Canarias;Construcción;2022;6
Ambos sexos;05 Canarias;Construcción;2021;6,4
Ambos sexos;05 Canarias;Construcción;2020;5,4
Ambos sexos;05 Canarias;Construcción;2019;4,9
Ambos sexos;05 Canarias;Construcción;2018;5,1
Ambos sexos;05 Canarias;Construcción;2017;4,9
Ambos sexos;05 Canarias;Construcción;2016;4,4
Ambos sexos;05 Canarias;Construcción;2015;4,6
Ambos sexos;05 Canarias;Construcción;2014;4,4
Ambos sexos;05 Canarias;Construcción;2013;5
Ambos sexos;05 Canarias;Construcción;2012;5,5
Ambos sexos;05 Canarias;Construcción;2011;6,1
Ambos sexos;05 Canarias;Construcción;2010;8
Ambos sexos;05 Canarias;Construcción;2009;8,9
Ambos sexos;05 Canarias;Construcción;2008;12,6
Ambos sexos;05 Canarias;Servicios;2024;86,4
Ambos sexos;05 Canarias;Servicios;2023;87,6
Ambos sexos;05 Canarias;Servicios;2022;87,4
Ambos sexos;05 Canarias;Servicios;2021;85,6
Ambos sexos;05 Canarias;Servicios;2020;86,9
Ambos sexos;05 Canarias;Servicios;2019;88
Ambos sexos;05 Canarias;Servicios;2018;88,5
Ambos sexos;05 Canarias;Servicios;2017;88,6
Ambos sexos;05 Canarias;Servicios;2016;88,4
Ambos sexos;05 Canarias;Servicios;2015;88,3
Ambos sexos;05 Canarias;Servicios;2014;87,6
Ambos sexos;05 Canarias;Servicios;2013;87
